database,url,link
COVID-19: Pandemics Past and Present 1800-2021,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=covidcol&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=covidcol&set_as_cursor=clear' target = '_blank'>COVID-19: Pandemics Past and Present 1800-2021</a>
Early American Case Law 1671-1926,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=cases&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=cases&set_as_cursor=clear' target = '_blank'>Early American Case Law 1671-1926</a>
English Reports 1207-1916,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=engrep&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=engrep&set_as_cursor=clear' target = '_blank'>English Reports 1207-1916</a>
Gun Regulation and Legislation in America 1750-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=gun&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=gun&set_as_cursor=clear' target = '_blank'>Gun Regulation and Legislation in America 1750-2025</a>
HeinOnline Legal Special Collections +,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Welcome,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Welcome' target = '_blank'>HeinOnline Legal Special Collections +</a>
History of Supreme Court Nominations 1791-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=supcourt&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=supcourt&set_as_cursor=clear' target = '_blank'>History of Supreme Court Nominations 1791-2025</a>
John F. Kennedy Assassination Collection 20th cent.,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=jfk&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=jfk&set_as_cursor=clear' target = '_blank'>John F. Kennedy Assassination Collection 20th cent.</a>
Judges and the Judiciary: Exploring America's Court System (Formerly known as Congress and the Courts) 1658-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=congcourts&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=congcourts&set_as_cursor=clear' target = '_blank'>Judges and the Judiciary: Exploring America's Court System (Formerly known as Congress and the Courts) 1658-2025</a>
Labor and Employment: The American Worker 1798-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=laborlaw&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=laborlaw&set_as_cursor=clear' target = '_blank'>Labor and Employment: The American Worker 1798-2025</a>
Legal Classics 1506-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=beal&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=beal&set_as_cursor=clear' target = '_blank'>Legal Classics 1506-2025</a>
Military and Government 1642-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=milandgov&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=milandgov&set_as_cursor=clear' target = '_blank'>Military and Government 1642-2025</a>
Pentagon Papers 1940-1968,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=pentagon&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=pentagon&set_as_cursor=clear' target = '_blank'>Pentagon Papers 1940-1968</a>
Reports of US Presidential Commissions and Other Advisory Bodies 1775-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=prescomm&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=prescomm&set_as_cursor=clear' target = '_blank'>Reports of US Presidential Commissions and Other Advisory Bodies 1775-2025</a>
Session Laws Library 1636-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=ssl&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=ssl&set_as_cursor=clear' target = '_blank'>Session Laws Library 1636-2025</a>
"Slavery in America and the World: History, Culture & Law 1656-2025",https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=slavery&set_as_cursor=clear,"<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=slavery&set_as_cursor=clear' target = '_blank'>Slavery in America and the World: History, Culture & Law 1656-2025</a>"
State Statutes: A Historical Archive 1612-2002,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=sstatutes&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=sstatutes&set_as_cursor=clear' target = '_blank'>State Statutes: A Historical Archive 1612-2002</a>
Statutes of the Realm 1377-1713,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=statore&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=statore&set_as_cursor=clear' target = '_blank'>Statutes of the Realm 1377-1713</a>
US Congressional Documents 1789-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=congrec&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=congrec&set_as_cursor=clear' target = '_blank'>US Congressional Documents 1789-2025</a>
US Congressional Serial Set 1789-2023,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=usccsset&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=usccsset&set_as_cursor=clear' target = '_blank'>US Congressional Serial Set 1789-2023</a>
"US Federal Agency Documents, Decisions, and Appeals 1789-2025",https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=usfed&set_as_cursor=clear,"<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=usfed&set_as_cursor=clear' target = '_blank'>US Federal Agency Documents, Decisions, and Appeals 1789-2025</a>"
US Federal Legislative History Library 1890-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=leghis&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=leghis&set_as_cursor=clear' target = '_blank'>US Federal Legislative History Library 1890-2025</a>
US Presidential Library 1789-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=presidents&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=presidents&set_as_cursor=clear' target = '_blank'>US Presidential Library 1789-2025</a>
US Treaties and Agreements Library 1686-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=ustreaties&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=ustreaties&set_as_cursor=clear' target = '_blank'>US Treaties and Agreements Library 1686-2025</a>
Voting Rights & Election Law 1682-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=election&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=election&set_as_cursor=clear' target = '_blank'>Voting Rights & Election Law 1682-2025</a>
West Academic Casebooks Archive 1888-2020,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=wacas&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=wacas&set_as_cursor=clear' target = '_blank'>West Academic Casebooks Archive 1888-2020</a>
Women and the Law [Peggy] 1584-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=peggy&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=peggy&set_as_cursor=clear' target = '_blank'>Women and the Law [Peggy] 1584-2025</a>
World Constitutions Illustrated 1479-2024,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=cow&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=cow&set_as_cursor=clear' target = '_blank'>World Constitutions Illustrated 1479-2024</a>
NewspaperARCHIVE 16th-21st cent,https://guides.lib.vt.edu/newspaper-archive,<a href='https://guides.lib.vt.edu/newspaper-archive' target = '_blank'>NewspaperARCHIVE 16th-21st cent</a>
"Fire Insurance Maps Online [FIMo]: Virginia, DC only 19th-20th cent.",https://fims-historicalinfo-com.ezproxy.lib.vt.edu/FIMS.aspx,"<a href='https://fims-historicalinfo-com.ezproxy.lib.vt.edu/FIMS.aspx' target = '_blank'>Fire Insurance Maps Online [FIMo]: Virginia, DC only 19th-20th cent.</a>"
HistoryMakers Digital Archive [open access] 20th-21st cent.,https://da-thehistorymakers-org.ezproxy.lib.vt.edu/home,<a href='https://da-thehistorymakers-org.ezproxy.lib.vt.edu/home' target = '_blank'>HistoryMakers Digital Archive [open access] 20th-21st cent.</a>
Audio Archive [Internet Archive]. [open access] 20th-21st cent.,https://archive.org/details/audio,<a href='https://archive.org/details/audio' target = '_blank'>Audio Archive [Internet Archive]. [open access] 20th-21st cent.</a>
Books [Internet Archive]. [open access],https://archive.org/details/texts,<a href='https://archive.org/details/texts' target = '_blank'>Books [Internet Archive]. [open access]</a>
Image Archive [Internet Archive]. [open access],https://archive.org/details/image,<a href='https://archive.org/details/image' target = '_blank'>Image Archive [Internet Archive]. [open access]</a>
Moving Image Archive [Internet Archive]. [open access],https://archive.org/details/movies,<a href='https://archive.org/details/movies' target = '_blank'>Moving Image Archive [Internet Archive]. [open access]</a>
Collections on JSTOR 19th-21st cent.,https://www.jstor.org/site/collection-list/,<a href='https://www.jstor.org/site/collection-list/' target = '_blank'>Collections on JSTOR 19th-21st cent.</a>
JSTOR Images (formerly ARTSTOR),https://www-jstor-org.ezproxy.lib.vt.edu/action/doImageSearch,<a href='https://www-jstor-org.ezproxy.lib.vt.edu/action/doImageSearch' target = '_blank'>JSTOR Images (formerly ARTSTOR)</a>
JSTOR Journals,https://www-jstor-org.ezproxy.lib.vt.edu/action/showAdvancedSearch,<a href='https://www-jstor-org.ezproxy.lib.vt.edu/action/showAdvancedSearch' target = '_blank'>JSTOR Journals</a>
Chronicling America: Historic American Newspapers [open access] 1756-1963,https://chroniclingamerica.loc.gov/,<a href='https://chroniclingamerica.loc.gov/' target = '_blank'>Chronicling America: Historic American Newspapers [open access] 1756-1963</a>
American Archive of Public Broadcasting [open access] 20th-21st Cent,https://americanarchive.org/,<a href='https://americanarchive.org/' target = '_blank'>American Archive of Public Broadcasting [open access] 20th-21st Cent</a>
LLMC Digital 16th-21st cent.,https://llmc-com.ezproxy.lib.vt.edu/,<a href='https://llmc-com.ezproxy.lib.vt.edu/' target = '_blank'>LLMC Digital 16th-21st cent.</a>
Trove: Digitised Australian Historical Newspapers and More [open access] 1803-2023,https://trove.nla.gov.au/newspaper/,<a href='https://trove.nla.gov.au/newspaper/' target = '_blank'>Trove: Digitised Australian Historical Newspapers and More [open access] 1803-2023</a>
Medical Heritage Library: National Library of Medicine Digital Collections [open access] 15th-21st cent.,https://collections.nlm.nih.gov/,<a href='https://collections.nlm.nih.gov/' target = '_blank'>Medical Heritage Library: National Library of Medicine Digital Collections [open access] 15th-21st cent.</a>
PapersPast (New Zealand) [open access] 1839-1989,https://paperspast.natlib.govt.nz/,<a href='https://paperspast.natlib.govt.nz/' target = '_blank'>PapersPast (New Zealand) [open access] 1839-1989</a>
Asian Life in America 1869-2025,https://guides.lib.vt.edu/asian-life-america,<a href='https://guides.lib.vt.edu/asian-life-america' target = '_blank'>Asian Life in America 1869-2025</a>
Black Life in America 1783-2025,https://guides.lib.vt.edu/black_life_in_america,<a href='https://guides.lib.vt.edu/black_life_in_america' target = '_blank'>Black Life in America 1783-2025</a>
Hispanic Life in America 1845-2025,https://guides.lib.vt.edu/hispanic_life_america_seriesIII,<a href='https://guides.lib.vt.edu/hispanic_life_america_seriesIII' target = '_blank'>Hispanic Life in America 1845-2025</a>
Academic Video Online [AVON] 20th-21st cent,https://www-proquest-com.ezproxy.lib.vt.edu/avon/fromDatabasesLayer?accountid=14826,<a href='https://www-proquest-com.ezproxy.lib.vt.edu/avon/fromDatabasesLayer?accountid=14826' target = '_blank'>Academic Video Online [AVON] 20th-21st cent</a>
American History in Video 20th-21st cent,https://search-alexanderstreet-com.ezproxy.lib.vt.edu/ahiv,<a href='https://search-alexanderstreet-com.ezproxy.lib.vt.edu/ahiv' target = '_blank'>American History in Video 20th-21st cent</a>
"American Periodicals, 1740-1940",https://www-proquest-com.ezproxy.lib.vt.edu/americanperiodicals/publicationbrowse/false?accountid=14826,"<a href='https://www-proquest-com.ezproxy.lib.vt.edu/americanperiodicals/publicationbrowse/false?accountid=14826' target = '_blank'>American Periodicals, 1740-1940</a>"
Atlanta Constitution 1868-1985,https://www.proquest.com/hnpatlantaconstitution2?accountid=14826,<a href='https://www.proquest.com/hnpatlantaconstitution2?accountid=14826' target = '_blank'>Atlanta Constitution 1868-1985</a>
Atlanta Daily World 1931-2010,https://www.proquest.com/hnpatlantadailyworld1?accountid=14826,<a href='https://www.proquest.com/hnpatlantadailyworld1?accountid=14826' target = '_blank'>Atlanta Daily World 1931-2010</a>
Baltimore Afro-American 1893-1988,https://www.proquest.com/hnpbaltimoreafricanamerican?accountid=14826,<a href='https://www.proquest.com/hnpbaltimoreafricanamerican?accountid=14826' target = '_blank'>Baltimore Afro-American 1893-1988</a>
Black Freedom Struggle in the United States: A Selection of Primary Sources 1790-2020,https://blackfreedom.proquest.com/,<a href='https://blackfreedom.proquest.com/' target = '_blank'>Black Freedom Struggle in the United States: A Selection of Primary Sources 1790-2020</a>
Black Studies Center 1893-2025,https://www.proquest.com/bsc?accountid=14826,<a href='https://www.proquest.com/bsc?accountid=14826' target = '_blank'>Black Studies Center 1893-2025</a>
"British Periodicals, 1681-1939",https://www.proquest.com/britishperiodicals?accountid=14826,"<a href='https://www.proquest.com/britishperiodicals?accountid=14826' target = '_blank'>British Periodicals, 1681-1939</a>"
Chicago Defender,https://www.proquest.com/hnpchicagodefender?accountid=14826,<a href='https://www.proquest.com/hnpchicagodefender?accountid=14826' target = '_blank'>Chicago Defender</a>
Chicago Tribune,https://www.proquest.com/hnpchicagotribune?accountid=14826,<a href='https://www.proquest.com/hnpchicagotribune?accountid=14826' target = '_blank'>Chicago Tribune</a>
Christian Science Monitor,https://www.proquest.com/hnpchristiansciencemonitor?accountid=14826,<a href='https://www.proquest.com/hnpchristiansciencemonitor?accountid=14826' target = '_blank'>Christian Science Monitor</a>
Cleveland Call & Post,https://www.proquest.com/publication/40002/citation/C45824642B144525PQ/19?accountid=14826,<a href='https://www.proquest.com/publication/40002/citation/C45824642B144525PQ/19?accountid=14826' target = '_blank'>Cleveland Call & Post</a>
"Colonial State Papers, 1574-1757",https://www-proquest-com.ezproxy.lib.vt.edu/csp/fromDatabasesLayer?accountid=14826,"<a href='https://www-proquest-com.ezproxy.lib.vt.edu/csp/fromDatabasesLayer?accountid=14826' target = '_blank'>Colonial State Papers, 1574-1757</a>"
"Digital National Security Archive, 1945-",https://www-proquest-com.ezproxy.lib.vt.edu/dnsa/fromDatabasesLayer?accountid=14826,"<a href='https://www-proquest-com.ezproxy.lib.vt.edu/dnsa/fromDatabasesLayer?accountid=14826' target = '_blank'>Digital National Security Archive, 1945-</a>"
"Documents on British Policy Overseas, 1898-1990",https://www-proquest-com.ezproxy.lib.vt.edu/dbpo/fromDatabasesLayer?accountid=14826,"<a href='https://www-proquest-com.ezproxy.lib.vt.edu/dbpo/fromDatabasesLayer?accountid=14826' target = '_blank'>Documents on British Policy Overseas, 1898-1990</a>"
Early English Books Online (EEBO)  [in Early Modern Books] 1470-1700,https://www.proquest.com/eebo?accountid=14826,<a href='https://www.proquest.com/eebo?accountid=14826' target = '_blank'>Early English Books Online (EEBO)  [in Early Modern Books] 1470-1700</a>
Early European Books  [in Early Modern Books] 1473-1700,https://www.proquest.com/eeb?accountid=14826,<a href='https://www.proquest.com/eeb?accountid=14826' target = '_blank'>Early European Books  [in Early Modern Books] 1473-1700</a>
"Economist Intelligence Unit Country Reports Archive, 1952-1995",https://www-proquest-com.ezproxy.lib.vt.edu/eiuarchive/fromDatabasesLayer?accountid=14826,"<a href='https://www-proquest-com.ezproxy.lib.vt.edu/eiuarchive/fromDatabasesLayer?accountid=14826' target = '_blank'>Economist Intelligence Unit Country Reports Archive, 1952-1995</a>"
Guardian and The Observer [London] 1791-2003,https://www.proquest.com/hnpguardianobserver?accountid=14826,<a href='https://www.proquest.com/hnpguardianobserver?accountid=14826' target = '_blank'>Guardian and The Observer [London] 1791-2003</a>
Los Angeles Sentinel 1934-2025,https://www.proquest.com/publication/46485?accountid=14826,<a href='https://www.proquest.com/publication/46485?accountid=14826' target = '_blank'>Los Angeles Sentinel 1934-2025</a>
Los Angeles Times 1881-2001,https://www.proquest.com/hnplatimes?accountid=14826,<a href='https://www.proquest.com/hnplatimes?accountid=14826' target = '_blank'>Los Angeles Times 1881-2001</a>
Meet the Press 1947-2025,https://search-alexanderstreet-com.ezproxy.lib.vt.edu/meet,<a href='https://search-alexanderstreet-com.ezproxy.lib.vt.edu/meet' target = '_blank'>Meet the Press 1947-2025</a>
NAACP Papers  [Civil Rights and the Black Freedom Struggle] 1901-1999,https://www.proquest.com/historyvault?accountid=14826,<a href='https://www.proquest.com/historyvault?accountid=14826' target = '_blank'>NAACP Papers  [Civil Rights and the Black Freedom Struggle] 1901-1999</a>
New York Amsterdam News 1922-1993,https://www.proquest.com/hnpnewamsterdamnews?accountid=14826,<a href='https://www.proquest.com/hnpnewamsterdamnews?accountid=14826' target = '_blank'>New York Amsterdam News 1922-1993</a>
New York Times 1851-2021,https://www.proquest.com/hnpnewyorktimes?accountid=14826,<a href='https://www.proquest.com/hnpnewyorktimes?accountid=14826' target = '_blank'>New York Times 1851-2021</a>
Norfolk Journal and Guide 1916-2003,https://www.proquest.com/hnpnorfolkjournalguide?accountid=14826,<a href='https://www.proquest.com/hnpnorfolkjournalguide?accountid=14826' target = '_blank'>Norfolk Journal and Guide 1916-2003</a>
Oral History Online 20th-21st cent,https://search-alexanderstreet-com.ezproxy.lib.vt.edu/orhi,<a href='https://search-alexanderstreet-com.ezproxy.lib.vt.edu/orhi' target = '_blank'>Oral History Online 20th-21st cent</a>
"Entertainment Industry Magazine Archive (EIMA), 1880-2015",https://www.proquest.com/eima?accountid=14826,"<a href='https://www.proquest.com/eima?accountid=14826' target = '_blank'>Entertainment Industry Magazine Archive (EIMA), 1880-2015</a>"
Periodicals Archive Online (PAO) 1803-2005,https://www.proquest.com/pao?accountid=14826,<a href='https://www.proquest.com/pao?accountid=14826' target = '_blank'>Periodicals Archive Online (PAO) 1803-2005</a>
Philadelphia Tribune 1912-2010,https://www.proquest.com/publication/46478/citation/C505165961144245PQ/2?accountid=14826,<a href='https://www.proquest.com/publication/46478/citation/C505165961144245PQ/2?accountid=14826' target = '_blank'>Philadelphia Tribune 1912-2010</a>
Pittsburgh Courier 1911-1950,https://www.proquest.com/hnppittsburghcourier1/publication/28476?accountid=14826,<a href='https://www.proquest.com/hnppittsburghcourier1/publication/28476?accountid=14826' target = '_blank'>Pittsburgh Courier 1911-1950</a>
ProQuest Dissertations & Theses Global‎  1606-2025,https://www.proquest.com/pqdtglobal?accountid=14826,<a href='https://www.proquest.com/pqdtglobal?accountid=14826' target = '_blank'>ProQuest Dissertations & Theses Global‎  1606-2025</a>
"Rolling Stone Archive, 1967-2021",https://guides.lib.vt.edu/rolling_stone_archive,"<a href='https://guides.lib.vt.edu/rolling_stone_archive' target = '_blank'>Rolling Stone Archive, 1967-2021</a>"
"Statistical Abstract of the US, 1878-",https://statabs-proquest-com.ezproxy.lib.vt.edu/statab/sa/index.html,"<a href='https://statabs-proquest-com.ezproxy.lib.vt.edu/statab/sa/index.html' target = '_blank'>Statistical Abstract of the US, 1878-</a>"
US Congressional Serial Set [ProQuest Congressional] 1790-2020,https://guides.lib.vt.edu/proquest-congressional,<a href='https://guides.lib.vt.edu/proquest-congressional' target = '_blank'>US Congressional Serial Set [ProQuest Congressional] 1790-2020</a>
Wall Street Journal 1889-2013,https://www.proquest.com/hnpwallstreetjournal?accountid=14826,<a href='https://www.proquest.com/hnpwallstreetjournal?accountid=14826' target = '_blank'>Wall Street Journal 1889-2013</a>
Washington Post 1877-2008,https://www.proquest.com/hnpwashingtonpost?accountid=14826,<a href='https://www.proquest.com/hnpwashingtonpost?accountid=14826' target = '_blank'>Washington Post 1877-2008</a>
"Women and Social Movements in the United States, 1600-2000",https://search-alexanderstreet-com.ezproxy.lib.vt.edu/wass,"<a href='https://search-alexanderstreet-com.ezproxy.lib.vt.edu/wass' target = '_blank'>Women and Social Movements in the United States, 1600-2000</a>"
African American Newspapers 1827-1995 [in America's Historical Newspapers],https://infoweb-newsbank-com.ezproxy.lib.vt.edu/iw-search/we/HistArchive/?p_product=EANX&p_theme=ahnp&p_nbid=B60N60GYMTYyNTY4NjUyNy43NTU4NzM6MToxMzoxOTguODIuMjMwLjM1&p_action=timeframes&p_queryname=2&d_hlTerms=&d_customSearchFields=0&d_locations=&d_languages=&d_locations_abbrev=&d_locchecks=&d_dates=&d_datestext=&d_datetype=&d_publication=&d_publicationHistory=&f_lochistory=reset&f_datehistory=reset&d_collections=EANAAA,<a href='https://infoweb-newsbank-com.ezproxy.lib.vt.edu/iw-search/we/HistArchive/?p_product=EANX&p_theme=ahnp&p_nbid=B60N60GYMTYyNTY4NjUyNy43NTU4NzM6MToxMzoxOTguODIuMjMwLjM1&p_action=timeframes&p_queryname=2&d_hlTerms=&d_customSearchFields=0&d_locations=&d_languages=&d_locations_abbrev=&d_locchecks=&d_dates=&d_datestext=&d_datetype=&d_publication=&d_publicationHistory=&f_lochistory=reset&f_datehistory=reset&d_collections=EANAAA' target = '_blank'>African American Newspapers 1827-1995 [in America's Historical Newspapers]</a>
African Americans and Jim Crow: Repression and Protest  1883-1922,https://guides.lib.vt.edu/african_americans_jim_crow,<a href='https://guides.lib.vt.edu/african_americans_jim_crow' target = '_blank'>African Americans and Jim Crow: Repression and Protest  1883-1922</a>
African Americans and Reconstruction: Hope and Struggle 1865-1883,https://guides.lib.vt.edu/african_americans_reconstruction,<a href='https://guides.lib.vt.edu/african_americans_reconstruction' target = '_blank'>African Americans and Reconstruction: Hope and Struggle 1865-1883</a>
America's Historical Imprints 1640-1900,https://guides.lib.vt.edu/americas-historical-imprints,<a href='https://guides.lib.vt.edu/americas-historical-imprints' target = '_blank'>America's Historical Imprints 1640-1900</a>
BBC Monitoring: Summary of World Broadcasts 1939-2001,https://guides.lib.vt.edu/bbc-monitoring,<a href='https://guides.lib.vt.edu/bbc-monitoring' target = '_blank'>BBC Monitoring: Summary of World Broadcasts 1939-2001</a>
Native American Tribal Histories 1810-1979,https://guides.lib.vt.edu/nath,<a href='https://guides.lib.vt.edu/nath' target = '_blank'>Native American Tribal Histories 1810-1979</a>
"Richmond Times-Dispatch, 1903-2025",https://infoweb-newsbank-com.ezproxy.lib.vt.edu/apps/news/browse-multi?p=WORLDNEWS&t=favorite%3A135B950C%21RIchmond%2520Times-Dispatch%2520Current%2520and%2520Historical&action=browse,"<a href='https://infoweb-newsbank-com.ezproxy.lib.vt.edu/apps/news/browse-multi?p=WORLDNEWS&t=favorite%3A135B950C%21RIchmond%2520Times-Dispatch%2520Current%2520and%2520Historical&action=browse' target = '_blank'>Richmond Times-Dispatch, 1903-2025</a>"
"Roanoke Times, 1889-2025",https://infoweb-newsbank-com.ezproxy.lib.vt.edu/apps/news/browse-multi?p=WORLDNEWS&t=favorite%3A14706BFB%21Roanoke%2520Times%2520Current%2520and%2520Historical&action=browse,"<a href='https://infoweb-newsbank-com.ezproxy.lib.vt.edu/apps/news/browse-multi?p=WORLDNEWS&t=favorite%3A14706BFB%21Roanoke%2520Times%2520Current%2520and%2520Historical&action=browse' target = '_blank'>Roanoke Times, 1889-2025</a>"
"Virginian-Pilot, 1865-2003; 2018-",https://infoweb-newsbank-com.ezproxy.lib.vt.edu/apps/news/browse-multi?p=WORLDNEWS&t=favorite%3A146D908D%21Virginian-Pilot%2520%2520and%2520Ledger-Star%2520Current%2520and%2520Historical%2520Archive&action=browse,"<a href='https://infoweb-newsbank-com.ezproxy.lib.vt.edu/apps/news/browse-multi?p=WORLDNEWS&t=favorite%3A146D908D%21Virginian-Pilot%2520%2520and%2520Ledger-Star%2520Current%2520and%2520Historical%2520Archive&action=browse' target = '_blank'>Virginian-Pilot, 1865-2003; 2018-</a>"
"American Prison Newspapers, 1800-2020:",https://www-jstor-org.ezproxy.lib.vt.edu/site/reveal-digital/american-prison-newspapers/,"<a href='https://www-jstor-org.ezproxy.lib.vt.edu/site/reveal-digital/american-prison-newspapers/' target = '_blank'>American Prison Newspapers, 1800-2020:</a>"
Independent Voices 20th-21st cent.,https://guides.lib.vt.edu/independent-voices,<a href='https://guides.lib.vt.edu/independent-voices' target = '_blank'>Independent Voices 20th-21st cent.</a>
Student Activism 20th-21st cent.,https://www-jstor-org.ezproxy.lib.vt.edu/site/reveal-digital/student-activism/,<a href='https://www-jstor-org.ezproxy.lib.vt.edu/site/reveal-digital/student-activism/' target = '_blank'>Student Activism 20th-21st cent.</a>
HathiTrust Digital Library 19th-20th cent.,https://guides.lib.vt.edu/hathitrust,<a href='https://guides.lib.vt.edu/hathitrust' target = '_blank'>HathiTrust Digital Library 19th-20th cent.</a>
Social Explorer,https://guides.lib.vt.edu/social-explorer,<a href='https://guides.lib.vt.edu/social-explorer' target = '_blank'>Social Explorer</a>
HNDM: Hemeroteca Nacional Digital de México [National Digital Newspaper Library of Mexico]  [open access] 1917-2025,https://hndm.iib.unam.mx/index.php/es/,<a href='https://hndm.iib.unam.mx/index.php/es/' target = '_blank'>HNDM: Hemeroteca Nacional Digital de México [National Digital Newspaper Library of Mexico]  [open access] 1917-2025</a>
Caribbean Newspaper Digital Collection  [open access] 1774-2024,https://dloc.com/collections/CNDL,<a href='https://dloc.com/collections/CNDL' target = '_blank'>Caribbean Newspaper Digital Collection  [open access] 1774-2024</a>
Digital Library of the Caribbean  [open access] 1555-2024,https://dloc.com/,<a href='https://dloc.com/' target = '_blank'>Digital Library of the Caribbean  [open access] 1555-2024</a>
Making of America (19th Century in Print) - Univ of Michigan  [open access],http://docs.umdl.umich.edu/m/moagrp/,<a href='http://docs.umdl.umich.edu/m/moagrp/' target = '_blank'>Making of America (19th Century in Print) - Univ of Michigan  [open access]</a>
"Foreign Relations of the United States, 1861-1960  [open access]",https://digital.library.wisc.edu/1711.dl/FRUS,"<a href='https://digital.library.wisc.edu/1711.dl/FRUS' target = '_blank'>Foreign Relations of the United States, 1861-1960  [open access]</a>"
PodcastRE  [open access] 21st cent,https://podcastre.org/,<a href='https://podcastre.org/' target = '_blank'>PodcastRE  [open access] 21st cent</a>
Presidential Speeches  [open access] 1732-2025,https://millercenter.org/the-presidency/presidential-speeches,<a href='https://millercenter.org/the-presidency/presidential-speeches' target = '_blank'>Presidential Speeches  [open access] 1732-2025</a>
Civil War PhotoSleuth   [open access],https://www.civilwarphotosleuth.com/,<a href='https://www.civilwarphotosleuth.com/' target = '_blank'>Civil War PhotoSleuth   [open access]</a>
VT ImageBase,https://imagebase.lib.vt.edu/,<a href='https://imagebase.lib.vt.edu/' target = '_blank'>VT ImageBase</a>
ImageBase from VT Libraries Special Collections and University Archives,https://imagebase.lib.vt.edu/,<a href='https://imagebase.lib.vt.edu/' target = '_blank'>ImageBase from VT Libraries Special Collections and University Archives</a>
